date,open,high,low,close,volume
2025-04-08,2.31,2.42,2.29,2.33,495300
2025-04-09,2.3,2.38,2.15,2.36,498210
2025-04-10,2.4,2.45,2.38,2.39,388182
2025-04-11,2.37,2.43,2.36,2.4,218786
2025-04-14,2.42,2.49,2.42,2.46,267801
2025-04-15,2.48,2.48,2.4,2.42,197226
2025-04-16,2.42,2.43,2.34,2.38,204871
2025-04-17,2.36,2.43,2.35,2.4,188038
2025-04-18,2.41,2.45,2.38,2.42,197477
2025-04-21,2.42,2.47,2.41,2.43,233379
2025-04-22,2.43,2.45,2.4,2.41,194666
2025-04-23,2.42,2.44,2.41,2.43,186187
2025-04-24,2.44,2.46,2.4,2.43,249452
2025-04-25,2.43,2.49,2.42,2.45,308483
2025-04-28,2.47,2.54,2.44,2.5,486343
2025-04-29,2.48,2.57,2.46,2.48,299945
2025-04-30,2.48,2.49,2.42,2.46,235639
2025-05-06,2.48,2.55,2.47,2.55,308991
2025-05-07,2.58,2.6,2.55,2.58,245781
2025-05-08,2.58,2.61,2.55,2.61,188905
2025-05-09,2.6,2.6,2.55,2.55,186724
2025-05-12,2.57,2.59,2.54,2.59,205209
2025-05-13,2.62,2.67,2.59,2.6,273787
2025-05-14,2.6,2.64,2.58,2.64,233674
2025-05-15,2.65,2.67,2.6,2.61,233048
2025-05-16,2.59,2.61,2.56,2.57,137799
2025-05-19,2.57,2.65,2.56,2.64,276498
2025-05-20,2.63,2.64,2.6,2.63,164201
2025-05-21,2.63,2.65,2.6,2.61,134228
2025-05-22,2.6,2.63,2.56,2.58,171231
2025-05-23,2.57,2.61,2.54,2.54,151565
2025-05-26,2.54,2.56,2.51,2.55,166668
2025-05-27,2.54,2.57,2.52,2.56,171213
2025-05-28,2.56,2.57,2.49,2.5,212479
2025-05-29,2.49,2.55,2.48,2.54,167209
2025-05-30,2.55,2.55,2.49,2.5,146264
2025-06-03,2.48,2.49,2.42,2.44,277649
2025-06-04,2.45,2.48,2.43,2.48,239639
2025-06-05,2.48,2.48,2.43,2.44,237207
2025-06-06,2.44,2.48,2.44,2.45,218155
2025-06-09,2.45,2.48,2.42,2.47,236230
2025-06-10,2.48,2.5,2.41,2.45,272655
2025-06-11,2.44,2.48,2.43,2.47,238034
2025-06-12,2.46,2.47,2.42,2.44,216272
2025-06-13,2.44,2.44,2.39,2.41,225260
2025-06-16,2.39,2.42,2.38,2.4,125164
2025-06-17,2.41,2.43,2.39,2.43,180803
2025-06-18,2.43,2.43,2.4,2.41,148187
2025-06-19,2.4,2.41,2.35,2.37,188424
2025-06-20,2.37,2.39,2.35,2.35,119993
2025-06-23,2.33,2.38,2.32,2.38,174982
2025-06-24,2.38,2.41,2.37,2.41,294125
2025-06-25,2.4,2.45,2.39,2.44,251617
2025-06-26,2.43,2.47,2.41,2.42,216029
2025-06-27,2.43,2.46,2.42,2.43,218053
2025-06-30,2.43,2.45,2.41,2.44,248615
2025-07-01,2.44,2.49,2.42,2.47,350643
2025-07-02,2.46,2.63,2.45,2.59,844872
2025-07-03,2.59,2.61,2.54,2.59,625502
2025-07-04,2.59,2.68,2.58,2.6,650674
